1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Eldritch Evolution
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Scheming Symmetry
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Demonic Tutor
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Neoform
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Imperial Seal
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Rhystic Study
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Survival of the Fittest
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Steal Enchantment
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Verity Circle
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Swift Reconfiguration
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Mystic Remora
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Exotic Orchard
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Watery Grave
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Breeding Pool
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Hallowed Fountain
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Marsh Flats
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Scalding Tarn
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Mana Confluence
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Gaea's Cradle
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Bayou
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Scrubland
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Savannah
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Tropical Island
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Tundra
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Underground Sea
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Arid Mesa
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Misty Rainforest
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Verdant Catacombs
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Gemstone Caverns
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,"Boseiju, Who Endures"
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,"Otawara, Soaring City"
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,City of Brass
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Bloodstained Mire
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Flooded Strand
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Polluted Delta
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Windswept Heath
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Wooded Foothills
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Command Tower
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Willow Satyr
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Royal Herbalist
1004,1,"Thrasios, Triton Hero",Tymna the Weaver,by jorman antigua,Cogwork Wrestler
